path,spoken_language,signed_language,start,end,words,glosses,priority
https://pub-42e8cb2c99e341d593579b74af71b94a.r2.dev/Videos/output/Ankle.mp4,en,ins,0,0,Ankle,ANKLE,0
https://pub-42e8cb2c99e341d593579b74af71b94a.r2.dev/Videos/output/Answer.mp4,en,ins,0,0,Answer,ANSWER,0
https://pub-42e8cb2c99e341d593579b74af71b94a.r2.dev/Videos/output/Anxious.mp4,en,ins,0,0,Anxious,ANXIOUS,0
https://pub-42e8cb2c99e341d593579b74af71b94a.r2.dev/Videos/output/Any.mp4,en,ins,0,0,Any,ANY,0
https://pub-42e8cb2c99e341d593579b74af71b94a.r2.dev/Videos/output/Apartment.mp4,en,ins,0,0,Apartment,APARTMENT,0
https://pub-42e8cb2c99e341d593579b74af71b94a.r2.dev/Videos/output/Appearance.mp4,en,ins,0,0,Appearance,APPEARANCE,0
https://pub-42e8cb2c99e341d593579b74af71b94a.r2.dev/Videos/output/Apple.mp4,en,ins,0,0,Apple,APPLE,0
https://pub-42e8cb2c99e341d593579b74af71b94a.r2.dev/Videos/output/Application.mp4,en,ins,0,0,Application,APPLICATION,0
https://pub-42e8cb2c99e341d593579b74af71b94a.r2.dev/Videos/output/Apply.mp4,en,ins,0,0,Apply,APPLY,0
https://pub-42e8cb2c99e341d593579b74af71b94a.r2.dev/Videos/output/Approve.mp4,en,ins,0,0,Approve,APPROVE,0
https://pub-42e8cb2c99e341d593579b74af71b94a.r2.dev/Videos/output/April.mp4,en,ins,0,0,April,APRIL,0
https://pub-42e8cb2c99e341d593579b74af71b94a.r2.dev/Videos/output/Area.mp4,en,ins,0,0,Area,AREA,0
https://pub-42e8cb2c99e341d593579b74af71b94a.r2.dev/Videos/output/Arm.mp4,en,ins,0,0,Arm,ARM,0
https://pub-42e8cb2c99e341d593579b74af71b94a.r2.dev/Videos/output/Around.mp4,en,ins,0,0,Around,AROUND,0
https://pub-42e8cb2c99e341d593579b74af71b94a.r2.dev/Videos/output/Ashamed.mp4,en,ins,0,0,Ashamed,ASHAMED,0
